rating,title,review_text,reviewer_name,date,helpful_votes
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,"Jun, 2022",
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,"Product is great and it is easy to use but only one thing is demo was not given properly, Installation guy didn't provided all info correctly. I request IFB team to train people properly so that it will be useful for users.",,"Jun, 2022",
,,It works wonderfully. Use kf liquid detergent recommended.,,"Apr, 2021",
,,Product is good but service is not satisfactory.IFB agent/technician misguide us and sell us an extarlnal filters of 2600 although filter is buil in in the machine.,,"Dec, 2022",
,,"This is my second ifb. Five years back I purchased one for my mom. Now I went for my wife. Nice product. The same day the installation was done. Even the installation fitted the right tap in my rented house and brought extra length pipe of 3 metres for the connection. They are really capable service person. I appreciate them. Only issue is the add on product like stand, cover, water softener, powder, electrical protector sold by ifb installation person is at MRP cost. It would be nice, if the...",,"Jul, 2022",
,,"Washing Machine works very well ,Cleans very even collar dirt. And its very user friendly. its smart sensing technology automatically detect the type of clothes in the machine and selects the ideal wash type it needs.",,"Feb, 2022",
,,Good quality washing machine with nice design. I recommend this washing machine.,,"Aug, 2020",
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,"Jan, 2022",
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,IFB is top most brand for washing machines. I got it for 14900 rs. awesome performance,,"Jun, 2021",
,,Design and colour super performance excellent it’s worthy,,"Oct, 2021",
,,The best product has wonderful performance with the AI it's working in a more intelligent way. After every wash program quite for a few seconds so that there is not much pressure on the motor. Wash quality satisfactory for me.,,"Oct, 2023",
